Plant_Name,Location,Operator,Capacity_MW,Commission_Date,Nuclear_Type,Reactor_Type,Fuel_Type,Annual_Output_GWh,Status
Gray-Benitez,"465 Cook Passage Apt. 924
Evansville, MN 47385","Garrett, Turner and Lutz",921,2001-07-24,Boiling Water Reactor,Heavy Water Reactor,Uranium,2323,Operational
"Wright, Harrell and Barry","29142 Brendan Village Apt. 021
Reedmouth, AS 46189",Reid and Sons,986,2010-12-21,Boiling Water Reactor,Heavy Water Reactor,Plutonium,4090,Operational
"Miller, Chandler and Morris","Unit 6810 Box 6182
DPO AA 99884",Alvarado-Lawson,1614,2017-12-20,Fast Breeder Reactor,Heavy Water Reactor,Uranium,1511,Operational
"Mcpherson, Jenkins and Harris","PSC 4293, Box 2928
APO AP 53983",Singleton-Cross,878,2020-12-07,Fast Breeder Reactor,Light Water Reactor,Uranium,4656,Decommissioned
"Gomez, Stark and Bush","990 Darren Isle
West Alexa, NV 12333",White-King,848,2013-04-02,Pressurized Water Reactor,Light Water Reactor,Uranium,1094,Decommissioned
Taylor-Jennings,"519 Mark Ridges
West Cliffordfurt, MH 07107",Sims-Kim,1901,2002-10-18,Fast Breeder Reactor,Heavy Water Reactor,Uranium,4543,Decommissioned
Warner-Jones,"USNS Obrien
FPO AE 08977",West-Gill,1572,2022-05-22,Fast Breeder Reactor,Heavy Water Reactor,Uranium,2396,Decommissioned
Valentine Inc,"748 Weeks Cove
South Daniel, AK 44346",Gordon and Sons,1840,2012-12-16,Boiling Water Reactor,Gas-cooled Reactor,Thorium,3939,Under Construction
Brock-Beck,"3008 Mcknight Gateway Apt. 588
Lake Chad, IA 70591",Graham Group,1987,2000-06-14,Boiling Water Reactor,Light Water Reactor,Uranium,2989,Operational
"Rosales, Rodgers and Arnold","USNS Dennis
FPO AA 81228",Ruiz-Davidson,815,2021-10-26,Pressurized Water Reactor,Light Water Reactor,Plutonium,3412,Under Construction
